Zone C Data, Big Bean Field
x_[m] y_[m] thickness_[m] por_[%] perm_[mD] logPerm logPermPrd logPermRsd
13900 3700 29.8393 10.1709 0.3634 -0.4396 -0.379 -0.0606
8500 10100 31.0735 10.7739 0.7625 -0.1177 -0.1947 0.077
8100 8700 30.7762 11.2665 2.6852 0.429 -0.0442 0.4732
14700 11900 34.3451 9.9261 0.4147 -0.3822 -0.4538 0.0716
6300 2300 35.6149 10.6175 -999.9999 -999.9999 -999.9999 -999.9999
11900 12900 32.3776 9.3496 -999.9999 -999.9999 -999.9999 -999.9999
18100 7100 31.942 9.7443 -999.9999 -999.9999 -999.9999 -999.9999
11300 7100 29.8175 10.1165 0.3658 -0.4367 -0.3956 -0.0411
12500 3100 27.6877 9.9549 0.2558 -0.5922 -0.445 -0.1472
2700 12700 32.8468 10.3823 -999.9999 -999.9999 -999.9999 -999.9999
2700 4300 34.4913 8.8237 -999.9999 -999.9999 -999.9999 -999.9999
8500 11300 31.4654 11.2158 -999.9999 -999.9999 -999.9999 -999.9999
1500 900 35.6229 9.7316 0.1579 -0.8016 -0.5132 -0.2884
7300 1300 36.6328 9.5535 0.4509 -0.3459 -0.5677 0.2217
10700 4100 28.3399 9.4018 0.2633 -0.5795 -0.614 0.0345
7100 1900 35.5283 10.0975 -999.9999 -999.9999 -999.9999 -999.9999
3900 8500 36.9947 9.2147 -999.9999 -999.9999 -999.9999 -999.9999
17100 6100 30.8988 8.9017 0.2293 -0.6396 -0.7669 0.1273
14100 10100 33.3706 10.3363 0.3008 -0.5217 -0.3284 -0.1933
11500 4900 29.0214 9.2807 0.3309 -0.4803 -0.651 0.1707
13300 15700 33.6722 9.063 -999.9999 -999.9999 -999.9999 -999.9999
1900 12100 34.2062 9.7126 -999.9999 -999.9999 -999.9999 -999.9999
15100 2900 30.8685 10.5737 0.8343 -0.0787 -0.2559 0.1772
6500 900 38.3488 9.5969 0.4405 -0.356 -0.5544 0.1984
8900 6100 28.9819 8.9219 0.0699 -1.1554 -0.7607 -0.3947
4500 2300 36.5587 10.0477 -999.9999 -999.9999 -999.9999 -999.9999
12900 10300 32.3937 10.5771 0.3008 -0.5217 -0.2548 -0.2668
10900 5700 29.4007 8.494 -999.9999 -999.9999 -999.9999 -999.9999
3500 700 37.7819 11.7534 0.7676 -0.1149 0.1046 -0.2195
16300 3700 30.5536 9.6861 -999.9999 -999.9999 -999.9999 -999.9999
900 5100 35.5802 9.2329 0.4654 -0.3322 -0.6656 0.3335
12900 12900 33.1654 9.2521 0.3192 -0.4959 -0.6598 0.1638
15300 9300 31.9868 10.044 -999.9999 -999.9999 -999.9999 -999.9999
7300 6900 31.4297 10.6527 0.3271 -0.4854 -0.2318 -0.2536
16300 12500 32.5771 9.4292 0.51 -0.2924 -0.6056 0.3132
100 8900 32.8811 9.7871 0.1372 -0.8628 -0.4963 -0.3665
1700 11700 34.3804 9.7886 0.4712 -0.3268 -0.4958 0.169
17500 11100 31.8314 10.8841 1.2257 0.0884 -0.161 0.2494
14900 8300 32.3037 10.0632 0.3965 -0.4017 -0.4119 0.0102
8300 10900 31.414 11.2305 0.6589 -0.1812 -0.0552 -0.126
4100 14500 30.7498 9.9094 0.4763 -0.3221 -0.4589 0.1368
11100 15300 32.2667 10.441 -999.9999 -999.9999 -999.9999 -999.9999
500 4900 35.6234 8.7136 -999.9999 -999.9999 -999.9999 -999.9999
13100 1500 29.9339 10.1306 1.0191 0.0082 -0.3913 0.3995
18900 1700 33.9052 10.9602 0.2354 -0.6281 -0.1378 -0.4903
3500 7500 36.0823 8.5999 0.2088 -0.6802 -0.8591 0.1788
3700 6900 35.2558 9.5437 -999.9999 -999.9999 -999.9999 -999.9999
14500 13300 33.5706 9.6739 0.2902 -0.5373 -0.5309 -0.0065
4900 9100 36.4476 9.3102 0.2023 -0.694 -0.642 -0.052
9700 5700 29.0351 9.3981 0.115 -0.9394 -0.6151 -0.3243
